survived,pclass,age,fare,adult_male,alone,fare_zscore,familySize,sex_male,embark_town_Queenstown,embark_town_Southampton,who_man,who_woman,class_Second,class_Third
0,3,-0.10463740114712775,-0.8828741679067219,1,1,-0.8823785887669681,-0.5609748304808925,True,False,False,True,False,False,True
0,1,-0.7962859910387481,2.6987007794454887,1,0,2.697185931849595,2.539698705241659,True,False,True,True,False,False,False
1,3,-0.10463740114712775,-0.8038521494426433,0,1,-0.8034009273192748,-0.5609748304808925,False,True,False,False,True,False,True
0,3,-0.10463740114712775,-0.8019236166026619,1,1,-0.8014734770125473,-0.5609748304808925,True,False,True,True,False,False,True
0,1,0.8175607187083664,0.4082334475616758,1,1,0.4080042960153794,-0.5609748304808925,True,False,False,True,False,False,False
1,1,-0.10463740114712775,2.0977949200217725,0,0,2.096617375769561,0.059159876663617675,False,False,False,False,True,False,False
1,3,-0.10463740114712775,-0.8189865811572414,0,1,-0.8185268637024631,-0.5609748304808925,False,True,False,False,True,False,True
0,2,2.8156566450619374,-0.5368057694182641,1,1,-0.5365044470428978,-0.5609748304808925,True,False,True,True,False,True,False
0,1,-0.10463740114712775,1.5060857797883966,1,0,1.5052403765335791,0.059159876663617675,True,False,False,True,False,False,False
0,1,0.971260405350949,1.040827750325537,1,0,1.0402435079273697,0.059159876663617675,True,False,True,True,False,False,False
1,3,-0.10463740114712775,-0.8823470582632057,1,1,-0.8818517750031517,-0.5609748304808925,True,False,False,True,False,False,True
0,3,-0.6425863043961659,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.8731358343600392,-0.01838583697289199,0,0,-0.018375516547171258,0.679294583808128,False,False,True,False,True,False,True
1,3,-1.180535207645204,-0.47227211715402745,0,0,-0.47200701911621323,0.059159876663617675,False,False,False,False,False,False,True
0,3,0.8175607187083664,-0.6331972544104217,0,0,-0.6328418251068559,0.059159876663617675,False,False,True,False,True,False,True
0,2,-0.18148724446841888,0.13298517012197925,0,0,0.13291052225186956,0.059159876663617675,False,False,True,False,True,True,False
0,3,-0.10463740114712775,-0.8019236166026619,1,1,-0.8014734770125473,-0.5609748304808925,True,False,False,True,False,False,True
1,2,-2.025883484179407,0.8147822510349936,0,0,0.8143248935748562,1.299429290952638,False,False,False,False,False,True,False
1,3,-0.7962859910387481,-0.8038521494426433,0,1,-0.8034009273192748,-0.5609748304808925,False,True,False,False,True,False,True
0,3,-0.10463740114712775,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.10463740114712775,-0.16405229962564444,1,0,-0.16396021300619354,0.059159876663617675,True,True,False,True,False,False,True
1,3,-0.10463740114712775,-0.8189865811572414,0,1,-0.8185268637024631,-0.5609748304808925,False,True,False,False,True,False,True
0,3,-0.10463740114712775,0.16437971416667382,1,0,0.1642874437613306,0.679294583808128,True,False,False,True,False,False,True
0,3,-0.8731358343600392,-0.02931207562706525,0,0,-0.029295622032938475,0.059159876663617675,False,False,True,False,True,False,True
0,3,-1.7184841108942424,0.767859433810712,0,0,0.7674284152901885,2.539698705241659,True,False,True,False,False,False,True
0,3,-0.6425863043961659,-0.8131032608653794,1,1,-0.8126468458640139,-0.5609748304808925,True,False,True,True,False,False,True
1,1,1.5092093085999871,1.436219975181706,0,0,1.435413789333631,0.059159876663617675,False,False,False,False,True,False,False
1,2,-0.027787557825836286,0.3444394801955363,0,0,0.34424613778333585,0.059159876663617675,False,False,True,False,True,True,False
0,1,2.7388068017406466,1.2189504454470088,1,0,1.218266218367867,0.059159876663617675,True,False,False,True,False,False,False
1,1,-0.10463740114712775,0.6557188297748952,1,1,0.6553507585532051,-0.5609748304808925,True,False,True,True,False,False,False
1,2,-0.6425863043961659,-0.5368057694182641,0,1,-0.5365044470428978,-0.5609748304808925,False,False,True,False,True,True,False
0,3,-0.06621247948648201,-0.8823470582632057,1,1,-0.8818517750031517,-0.5609748304808925,True,False,False,True,False,False,True
1,2,-1.8721837975368247,0.40928266156909415,0,0,0.40905292107298563,1.299429290952638,False,False,True,False,False,True,False
0,3,-1.4110847376090776,0.9363610927004846,0,0,0.9358354900249423,3.779968119530679,True,False,True,False,False,False,True
0,3,-0.5657364610748749,-0.8823470582632057,1,1,-0.8818517750031517,-0.5609748304808925,True,False,False,True,False,False,True
1,1,0.6638610320657842,1.4787785499834798,0,1,1.4779484749531677,-0.5609748304808925,False,False,True,False,True,False,False
0,1,1.2018099353148228,1.5221510751129645,1,0,1.5212966540099349,0.059159876663617675,True,False,True,True,False,False,False
0,3,-1.9490336408581157,0.4146557174979072,0,0,0.4144229609724118,2.539698705241659,True,False,True,False,False,False,True
0,1,-0.10463740114712775,0.4082334475616758,1,1,0.4080042960153794,-0.5609748304808925,True,False,False,True,False,False,False
1,3,-0.10463740114712775,-0.18008316987206635,1,0,-0.17998208472805216,0.679294583808128,True,False,False,True,False,False,True
1,2,-0.027787557825836286,-0.5368057694182641,0,1,-0.5365044470428978,-0.5609748304808925,False,False,True,False,True,True,False
0,3,-0.7962859910387481,-0.7718965778779474,1,1,-0.7714632932084563,-0.5609748304808925,True,False,True,True,False,False,True
1,3,-0.9499856776813305,-0.7985399740528021,0,0,-0.7980917337850657,3.159833412386169,False,False,True,False,True,False,True
0,3,-0.25833708778971,-0.716561933621122,1,0,-0.7161597096581235,0.679294583808128,True,False,True,True,False,False,True
0,2,0.2027619721380371,-0.5368057694182641,1,1,-0.5365044470428978,-0.5609748304808925,True,False,True,True,False,True,False
0,3,-1.0268355210026217,0.9363610927004846,0,0,0.9358354900249423,3.779968119530679,False,False,True,False,True,False,True
0,2,-0.6425863043961659,1.3924082286355357,1,1,1.3916266354060391,-0.5609748304808925,True,False,True,True,False,True,False
0,3,-0.25833708778971,-0.23166125968823245,1,0,-0.23153122248478483,0.059159876663617675,True,False,False,True,False,False,True
1,3,0.2027619721380371,1.1248955097361606,1,1,1.1242640780222282,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.3351869311110011,-0.830854756854953,1,1,-0.8303883774991738,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.10463740114712775,-0.8019236166026619,1,1,-0.8014734770125473,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.10463740114712775,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
1,2,-2.192647644186609,0.45322631114257494,0,0,0.45297190398745063,0.679294583808128,True,False,True,False,False,True,False
1,3,0.04906228549545484,-0.3731626361213424,0,1,-0.3729531706902314,-0.5609748304808925,False,False,True,False,True,False,True
0,3,-0.5657364610748749,-0.6811127586453682,1,1,-0.6807304331823807,-0.5609748304808925,True,False,True,True,False,False,True
1,3,-0.027787557825836286,-0.6307359423566569,1,1,-0.6303818946485152,-0.5609748304808925,True,False,True,True,False,False,True
1,3,-0.10463740114712775,-0.8145709511162283,0,1,-0.8141137122639694,-0.5609748304808925,False,True,False,False,True,False,True
0,1,-0.10463740114712775,0.9406632652481023,1,1,0.9401352476565409,-0.5609748304808925,True,False,True,True,False,False,False
1,2,-0.9499856776813305,-0.5368057694182641,0,1,-0.5365044470428978,-0.5609748304808925,False,False,True,False,True,True,False
1,3,0.27961181545932823,-0.14237942169106096,0,0,-0.14229950059484447,1.299429290952638,False,False,True,False,True,False,True
0,3,-1.0268355210026217,0.6233938271906202,1,0,0.62304390079359,1.919563998097148,True,False,True,True,False,False,True
0,3,-0.10463740114712775,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
1,1,-0.4888866177535834,2.6987007794454887,0,0,2.697185931849595,2.539698705241659,False,False,True,False,True,False,False
0,3,-0.41203677443229225,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.027787557825836286,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.7194361477174569,-0.8067633807960333,1,1,-0.8063105245263931,-0.5609748304808925,True,False,True,True,False,False,True
0,1,1.2786597786361142,1.2056809915054136,1,0,1.2050042128994607,0.059159876663617675,True,False,True,True,False,False,False
0,3,-0.25833708778971,0.11284358066326515,1,0,0.11278023876623752,1.299429290952638,True,False,True,True,False,False,True
0,3,2.277707741812899,-0.8797405693934279,1,1,-0.8792467492201408,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.10463740114712775,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,1,3.199905861668393,0.6315110816648203,1,1,0.6311565988517844,-0.5609748304808925,True,False,False,True,False,False,False
1,1,-0.4888866177535834,1.241316266924983,1,0,1.240619485356231,0.059159876663617675,True,False,False,True,False,False,False
1,2,0.35646165878061936,0.2228261499229998,0,0,0.22270107208551435,0.059159876663617675,False,False,True,False,True,True,False
0,2,0.35646165878061936,0.3444394801955363,1,0,0.34424613778333585,0.059159876663617675,True,False,True,True,False,True,False
0,3,-0.10463740114712775,-0.8019236166026619,0,1,-0.8014734770125473,-0.5609748304808925,False,False,True,False,True,False,True
0,3,-0.10463740114712775,-0.8019236166026619,1,1,-0.8014734770125473,-0.5609748304808925,True,False,True,True,False,False,True
0,1,-0.6425863043961659,1.443609675522841,1,0,1.442799341652917,0.059159876663617675,True,False,True,True,False,False,False
0,3,0.27961181545932823,-0.717449240028906,1,1,-0.7170465179988419,-0.5609748304808925,True,False,True,True,False,False,True
0,3,0.5870111887444931,-0.7985399740528021,1,0,-0.7980917337850657,0.679294583808128,True,False,True,True,False,False,True
0,3,-0.10463740114712775,-0.8019236166026619,1,1,-0.8014734770125473,-0.5609748304808925,True,False,True,True,False,False,True
1,3,-0.6425863043961659,-0.830854756854953,0,1,-0.8303883774991738,-0.5609748304808925,False,False,True,False,True,False,True
1,3,-0.10463740114712775,-0.8160407306065735,1,1,-0.8155826667306794,-0.5609748304808925,True,False,True,True,False,False,True
0,3,0.6638610320657842,-0.8019236166026619,1,1,-0.8014734770125473,-0.5609748304808925,True,False,True,True,False,False,True
1,3,-0.10463740114712775,0.27115228049766626,0,0,0.2710000760060229,0.059159876663617675,False,True,False,False,True,False,True
0,1,1.355509621957405,1.040827750325537,1,1,1.0402435079273697,-0.5609748304808925,True,False,True,True,False,False,False
0,3,-1.1421102859845582,-0.23166125968823245,0,0,-0.23153122248478483,0.059159876663617675,False,False,False,False,False,False,True
0,3,-0.5657364610748749,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.7194361477174569,-0.5992616204389829,0,0,-0.5989252400473708,0.059159876663617675,False,False,True,False,True,False,True
0,3,-0.9499856776813305,-0.23138736843472293,0,1,-0.2312574849732206,-0.5609748304808925,False,False,False,False,True,False,True
0,3,-0.6425863043961659,-0.7985399740528021,1,1,-0.7980917337850657,-0.5609748304808925,True,False,True,True,False,False,True
0,3,3.161480940007748,-0.8189865811572414,1,1,-0.8185268637024631,-0.5609748304808925,True,True,False,True,False,False,True
0,2,-0.027787557825836286,0.13298517012197925,1,0,0.13291052225186956,0.059159876663617675,True,False,True,True,False,True,False
0,1,-0.41203677443229225,2.636313283908729,1,0,2.634833455959454,0.059159876663617675,True,False,False,True,False,False,False
0,3,-2.102733327500698,0.5286989276421438,0,0,0.5284021558378776,3.159833412386169,False,False,True,False,False,False,True
0,2,-0.6425863043961659,1.3924082286355357,1,0,1.3916266354060391,0.679294583808128,True,False,True,True,False,True,False
0,3,-0.10463740114712775,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,2,0.24118689379868283,0.48943790981262336,1,0,0.48916317619018307,0.059159876663617675,True,False,False,True,False,True,False
1,2,0.24118689379868283,-0.3336984726090339,0,1,-0.33351115939045256,-0.5609748304808925,False,False,True,False,True,True,False
0,1,1.8934585252064433,1.443609675522841,1,0,1.442799341652917,0.059159876663617675,True,False,True,True,False,False,False
1,3,-1.3342348942877862,-0.47227211715402745,0,0,-0.47200701911621323,0.059159876663617675,True,False,False,False,False,False,True
0,3,-0.10463740114712775,-0.8189865811572414,1,1,-0.8185268637024631,-0.5609748304808925,True,True,False,True,False,False,True
1,3,-0.41203677443229225,-0.8933844909173266,1,1,-0.8928830120729202,-0.5609748304808925,True,False,True,True,False,False,True
1,3,-0.10463740114712775,0.1948433640252769,0,0,0.19473399361866583,0.679294583808128,False,False,False,False,True,False,True
0,3,1.2018099353148228,-0.91474459673667,1,1,-0.9142311279357649,-0.5609748304808925,True,False,True,True,False,False,True
0,3,0.27961181545932823,-0.8019236166026619,1,1,-0.8014734770125473,-0.5609748304808925,True,False,False,True,False,False,True
0,3,-0.7194361477174569,-0.9050797531497121,1,1,-0.9045717094649159,-0.5609748304808925,True,False,True,True,False,False,True
0,3,1.355509621957405,-0.22860581346535838,0,0,-0.22847749135956097,0.059159876663617675,False,False,True,False,True,False,True
1,2,-0.027787557825836286,0.3444394801955363,0,0,0.34424613778333585,0.059159876663617675,False,False,True,False,True,True,False
0,2,-0.3351869311110011,-0.3336984726090339,1,1,-0.33351115939045256,-0.5609748304808925,True,False,True,True,False,True,False
0,2,-0.4888866177535834,-0.19287328396337322,1,1,-0.19276501941150098,-0.5609748304808925,True,False,False,True,False,True,False
1,1,-0.7962859910387481,0.35521684813142834,0,0,0.35501745611564367,0.679294583808128,False,False,True,False,True,False,False
0,1,0.5870111887444931,1.0620380556287106,1,0,1.0614419073607846,0.059159876663617675,True,False,True,True,False,False,False
0,3,-1.0268355210026217,-0.658977035624085,1,1,-0.6586071354907439,-0.5609748304808925,True,False,True,True,False,False,True
0,1,-0.41203677443229225,1.4685301291949246,1,1,1.4677058068570603,-0.5609748304808925,True,False,False,True,False,False,False
0,3,-0.10463740114712775,-0.18008316987206635,0,0,-0.17998208472805216,0.679294583808128,False,False,False,False,True,False,True
1,3,-0.5657364610748749,-0.8189865811572414,0,1,-0.8185268637024631,-0.5609748304808925,False,False,True,False,True,False,True
1,3,-0.41203677443229225,-0.14237942169106096,0,0,-0.14229950059484447,0.059159876663617675,False,False,True,False,True,False,True
0,3,-0.7962859910387481,-0.9442940832331418,1,1,-0.9437640275735082,-0.5609748304808925,True,True,False,True,False,False,True
0,2,-0.8731358343600392,-0.45071259742579345,1,1,-0.45045960128044443,-0.5609748304808925,True,False,True,True,False,True,False
0,2,-0.7962859910387481,0.690487095062628,1,0,0.6900995075524015,0.679294583808128,True,False,True,True,False,True,False
1,3,-0.18148724446841888,-0.8135961720983268,1,1,-0.8131394804136766,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-1.5647844242516598,0.6233938271906202,0,0,0.62304390079359,1.919563998097148,False,False,True,False,False,False,True
0,2,0.5485862670838473,0.3444394801955363,1,0,0.34424613778333585,0.679294583808128,True,False,True,True,False,True,False
0,2,0.971260405350949,-0.3336984726090339,1,1,-0.33351115939045256,-0.5609748304808925,True,False,True,True,False,True,False
0,2,1.6629089952425695,-0.3693384839068559,1,1,-0.3691311650671093,-0.5609748304808925,True,False,True,True,False,True,False
1,1,-0.5657364610748749,1.292056438357112,0,0,1.291331175073271,0.059159876663617675,False,False,True,False,True,False,False
0,3,2.0087332901883803,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,3,0.8559856403690125,-0.22860581346535838,1,0,-0.22847749135956097,0.679294583808128,True,False,True,True,False,False,True
0,3,-0.10463740114712775,-0.8719479292525483,1,1,-0.8714584832812003,-0.5609748304808925,True,False,True,True,False,False,True
0,1,1.6629089952425695,1.2090665177433995,1,0,1.208387838757708,0.059159876663617675,True,False,False,True,False,False,False
1,3,-1.0268355210026217,-0.820959102119349,0,1,-0.8204982774396938,-0.5609748304808925,False,True,False,False,True,False,True
0,3,0.04906228549545484,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.10463740114712775,-0.716561933621122,1,1,-0.7161597096581235,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.10463740114712775,1.3361591794576348,1,0,1.3354091602127638,5.640372240964209,True,False,True,True,False,False,True
0,3,1.1249600919935312,-0.12717266791993034,1,0,-0.12710128275128557,0.059159876663617675,True,False,True,True,False,False,True
1,2,0.8175607187083664,-0.1485253917280838,0,1,-0.1484420207466463,-0.5609748304808925,False,False,True,False,True,True,False
0,3,-0.25833708778971,-0.8160407306065735,1,1,-0.8155826667306794,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.9499856776813305,-0.716561933621122,1,1,-0.7161597096581235,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-2.179583170821989,0.767859433810712,0,0,0.7674284152901885,2.539698705241659,True,False,True,False,False,False,True
1,3,-1.5647844242516598,0.1104479417286699,0,0,0.11038594456311775,0.679294583808128,True,False,True,False,False,False,True
1,1,-0.10463740114712775,1.0976780669265338,0,0,1.0970619130374424,0.059159876663617675,False,False,True,False,True,False,False
0,3,1.2018099353148228,0.4146557174979072,0,0,0.4144229609724118,2.539698705241659,False,False,True,False,True,False,True
0,1,-0.10463740114712775,0.3415673784337012,1,1,0.3413756482033632,-0.5609748304808925,True,False,True,True,False,False,False
0,3,-0.10463740114712775,1.1248955097361606,1,1,1.1242640780222282,-0.5609748304808925,True,False,True,True,False,False,True
0,1,2.4314074284554814,0.5975333003696794,1,1,0.5971978901269339,-0.5609748304808925,True,False,True,True,False,False,False
0,3,-1.9490336408581157,0.4575195394387211,0,0,0.4572627223882084,2.539698705241659,True,True,False,False,False,False,True
1,3,-2.179583170821989,-0.48145578049281335,0,0,-0.4811855274372825,0.679294583808128,False,False,True,False,False,False,True
0,3,-0.6425863043961659,-0.7985399740528021,1,1,-0.7980917337850657,-0.5609748304808925,True,False,True,True,False,False,True
0,1,2.0471582118490255,0.5100012756239033,1,1,0.5097149992748667,-0.5609748304808925,True,False,False,True,False,False,False
0,3,-0.8731358343600392,-0.8067633807960333,1,0,-0.8063105245263931,0.679294583808128,True,False,True,True,False,False,True
0,3,-0.10463740114712775,0.3238411962475483,1,0,0.3236594161623594,1.919563998097148,True,False,True,True,False,False,True
0,1,1.5860591519212788,0.44328361002735434,0,1,0.4430347839566524,-0.5609748304808925,False,False,False,False,True,False,False
0,2,0.04906228549545484,-0.3336984726090339,1,1,-0.33351115939045256,-0.5609748304808925,True,False,True,True,False,True,False
0,3,0.5101613454232019,-3.058577729168294,1,1,-3.0568608737261584,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.10463740114712775,1.3361591794576348,0,0,1.3354091602127638,5.640372240964209,False,False,True,False,True,False,True
0,2,-0.10463740114712775,-0.19260305647698947,1,1,-0.19249494361049893,-0.5609748304808925,True,False,False,True,False,True,False
0,3,-1.5647844242516598,0.5322916934007402,0,0,0.5319929048880593,3.159833412386169,True,False,True,False,False,False,True
1,2,-2.179583170821989,0.7502637808901983,0,0,0.7498426392455132,1.299429290952638,True,False,True,False,False,True,False
1,3,-1.9490336408581157,0.18000419510146282,0,0,0.17990315428794365,0.679294583808128,False,False,True,False,False,False,True
0,1,-0.10463740114712775,1.0011105492142125,1,1,1.000548601064847,-0.5609748304808925,True,False,True,True,False,False,False
1,3,-0.10463740114712775,-0.16405229962564444,0,0,-0.16396021300619354,0.059159876663617675,False,True,False,False,True,False,True
1,1,1.2018099353148228,0.36526093570402574,1,1,0.3650559056930892,-0.5609748304808925,True,False,True,True,False,False,False
0,3,0.8175607187083664,-0.16405229962564444,1,0,-0.16396021300619354,0.679294583808128,True,True,False,True,False,False,True
0,3,0.5101613454232019,-0.8019236166026619,1,1,-0.8014734770125473,-0.5609748304808925,True,False,True,True,False,False,True
1,2,0.2027619721380371,-0.3336984726090339,0,1,-0.33351115939045256,-0.5609748304808925,False,False,True,False,True,True,False
0,2,-0.7962859910387481,-0.3336984726090339,1,1,-0.33351115939045256,-0.5609748304808925,True,False,True,True,False,True,False
1,3,-0.7962859910387481,-0.8067633807960333,0,0,-0.8063105245263931,0.059159876663617675,False,False,True,False,True,False,True
1,2,-2.025883484179407,0.3444394801955363,0,0,0.34424613778333585,0.679294583808128,True,False,True,False,False,True,False
1,1,1.1249600919935312,0.4082334475616758,0,1,0.4080042960153794,-0.5609748304808925,False,False,False,False,True,False,False
1,1,2.2008578984916083,2.0977949200217725,0,1,2.096617375769561,-0.5609748304808925,False,False,False,False,True,False,False
0,3,-0.10463740114712775,-0.8189865811572414,1,1,-0.8185268637024631,-0.5609748304808925,True,True,False,True,False,False,True
0,3,0.971260405350949,-0.7445391097425899,1,0,-0.7441211814976236,0.059159876663617675,True,False,True,True,False,False,True
1,3,-0.10463740114712775,-0.8189865811572414,0,1,-0.8185268637024631,-0.5609748304808925,False,True,False,False,True,False,True
0,2,-0.41203677443229225,-0.3336984726090339,0,1,-0.33351115939045256,-0.5609748304808925,False,False,True,False,True,True,False
0,3,-0.10463740114712775,-0.6307359423566569,1,1,-0.6303818946485152,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.10463740114712775,1.3361591794576348,1,0,1.3354091602127638,5.640372240964209,True,False,True,True,False,False,True
0,3,0.35646165878061936,-0.978728601506448,1,1,-0.9781792168987444,-0.5609748304808925,True,False,True,True,False,False,True
0,3,1.2402348569754684,-0.8828741679067219,1,1,-0.8823785887669681,-0.5609748304808925,True,False,False,True,False,False,True
1,3,-0.8731358343600392,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-2.102733327500698,-0.5401781836878246,0,0,-0.5398749682927922,0.059159876663617675,False,False,True,False,False,False,True
0,3,0.2027619721380371,-0.14237942169106096,1,0,-0.14229950059484447,0.059159876663617675,True,False,True,True,False,False,True
1,3,-0.25833708778971,0.023546289947323783,1,1,0.023533072831520997,-0.5609748304808925,True,False,False,True,False,False,True
1,3,-1.0268355210026217,-0.8189865811572414,0,1,-0.8185268637024631,-0.5609748304808925,False,True,False,False,True,False,True
1,1,0.8175607187083664,0.5198636196706231,1,1,0.519571807343577,-0.5609748304808925,True,False,False,True,False,False,False
0,3,-0.41203677443229225,-0.9050797531497121,1,1,-0.9045717094649159,-0.5609748304808925,True,False,True,True,False,False,True
1,2,0.4333115021019105,0.13298517012197925,0,1,0.13291052225186956,-0.5609748304808925,False,False,True,False,True,True,False
0,3,-0.5657364610748749,-0.8797405693934279,1,1,-0.8792467492201408,-0.5609748304808925,True,False,True,True,False,False,True
0,2,0.04906228549545484,-0.3336984726090339,1,1,-0.33351115939045256,-0.5609748304808925,True,False,True,True,False,True,False
0,3,-0.10463740114712775,-0.8189865811572414,1,0,-0.8185268637024631,0.059159876663617675,True,True,False,True,False,False,True
1,1,0.12591212881674596,1.8341292311094284,0,0,1.8330996889395563,0.059159876663617675,False,False,False,False,True,False,False
1,3,-0.18148724446841888,-0.7985399740528021,0,1,-0.7980917337850657,-0.5609748304808925,False,False,True,False,True,False,True
0,2,0.971260405350949,0.3819897971587499,1,0,0.38177537682349466,0.059159876663617675,True,False,True,True,False,True,False
1,1,0.2027619721380371,1.4303920040723752,0,1,1.429589089608846,-0.5609748304808925,False,False,False,False,True,False,False
0,2,0.04906228549545484,-0.5368057694182641,1,1,-0.5365044470428978,-0.5609748304808925,True,False,True,True,False,True,False
1,3,-1.0268355210026217,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,2,-0.18148724446841888,-0.3336984726090339,1,1,-0.33351115939045256,-0.5609748304808925,True,False,True,True,False,True,False
0,3,1.6629089952425695,-0.7841792430073967,1,1,-0.7837390637737198,-0.5609748304808925,True,False,True,True,False,False,True
0,3,-0.10463740114712775,-0.8019236166026619,1,1,-0.8014734770125473,-0.5609748304808925,True,False,True,True,False,False,True
1,1,0.6638610320657842,1.5989745568795646,1,0,1.5980770128532569,0.059159876663617675,True,False,True,True,False,False,False
0,3,-0.5657364610748749,-0.6455926003653029,1,1,-0.6452302132470126,-0.5609748304808925,True,False,True,True,False,False,True
1,2,-0.7962859910387481,-0.5368057694182641,1,1,-0.5365044470428978,-0.5609748304808925,True,False,True,True,False,True,False
0,3,-0.6810112260568114,-0.8797405693934279,1,1,-0.8792467492201408,-0.5609748304808925,True,False,True,True,False,False,True
0,2,-0.8731358343600392,-0.3336984726090339,1,1,-0.33351115939045256,-0.5609748304808925,True,False,True,True,False,True,False
0,3,-0.10463740114712775,0.3238411962475483,0,0,0.3236594161623594,1.919563998097148,False,False,True,False,True,False,True
1,1,0.4333115021019105,1.5221510751129645,0,0,1.5212966540099349,0.059159876663617675,False,False,True,False,True,False,False
